food;ingredients;category;kitchen;food_url
Рыба в маринаде по-корейски;рыба, уксус, репчатый лук, чеснок, морковь, молотый красный перец, огурцы, черный перец горошком, молотый кориандр , зеленый лук;Соусы и маринады;Корейская кухня;https://eda.ru/recepty/sousy-marinady/riba-v-marinade-po-korejski-16445
Лимонный маринад;репчатый лук, чеснок, петрушка, сливочное масло, растительное масло, лимон, лимонный сок;Соусы и маринады;;https://eda.ru/recepty/sousy-marinady/limonnij-marinad-18454
Маринад из бальзамического уксуса с розмарином;оливковое масло extra virgin, чеснок, свежий розмарин , крупная соль, свежемолотый черный перец, бальзамический уксус;Соусы и маринады;Итальянская кухня;https://eda.ru/recepty/sousy-marinady/marinad-iz-balzamicheskogo-uksusa-s-rozmarinom-27745
Мексиканский маринад для мяса;чеснок, черный перец горошком, уксус, молотый кумин (зира) , сушеный орегано, растительное масло, соль;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/meksikanskij-marinad-dlja-mjasa-23266
Горчичный маринад для бараньих ребрышек;оливковое масло, зернистая горчица, вустерширский соус, красный винный уксус, сушеный тимьян;Соусы и маринады;Британская кухня;https://eda.ru/recepty/sousy-marinady/gorchichnij-marinad-dlja-baranih-rebrishek-27749
Маринад для курицы с медом;оливковое масло, молотая паприка, чеснок, репчатый лук, мед, кетчуп, соль, молотый черный перец;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-kurici-s-medom-39339
Маринад с пятью специями и хересом;соевый соус, сухой херес, репчатый лук, тертый имбирь, масло с чили, кунжутное масло, китайские пряности «пять специй»;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/marinad-s-pjatju-specijami-heresom-23253
Маринад для баранины;рафинированное оливковое масло, соевый соус, дижонская горчица, лимон, розмарин, смесь молотых перцев ;Соусы и маринады;Французская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlya-baraniny-151991
Кленовый маринад с горчицей и хариссой;яблочный уксус, мед, кленовый сироп, харисса, дижонская горчица;Соусы и маринады;Американская кухня;https://eda.ru/recepty/sousy-marinady/klenovij-marinad-s-gorchicej-harissoj-27763
Томатный маринад для свинины;томатный сок, сладкий перец, аджика, соль, шашлык;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/tomatnyy-marinad-dlya-svininy-173624
Маринад для овощей на гриле;оливковое масло extra virgin, крупная соль, свежемолотый черный перец, бальзамический уксус;Соусы и маринады;Греческая кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-ovoschej-na-grile-27746
Маринад для стейка;соевый соус, оливковое масло, лимонный сок, молотый сушеный чеснок, сушеный базилик, рубленая петрушка, молотый черный перец, молотый белый перец, молотый перец чили;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-stejka-46309
Пряный маринад с куркумой для рыбы на мангале;красный лук, лимон, чеснок, оливковое масло, молотый перец чили, молотая паприка, куркума, соль;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/pryanyy-marinad-s-kurkumoy-dlya-ryby-na-mangale-174399
Маринад для шашлыка из курицы с зирой;куриная грудка, оливковое масло, кумин (зира), перец чили хлопьями, соль, смесь перцев, паприка, чеснок, лимон;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlya-shashlyka-iz-kuricy-s-ziro-151517
Чесночно-винный маринад для говядины и курицы;марсала, бальзамический уксус, лимонный сок, свежие листья орегано, листья базилика, молотый черный перец, чеснок;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/chesnochno-vinnij-marinad-dlja-govjadini-kurici-23255
Горчичный маринад с шалфеем;зернистая горчица, лимон, листья шалфея, чеснок, оливковое масло extra virgin, мед, крупная соль, свежемолотый черный перец;Соусы и маринады;Итальянская кухня;https://eda.ru/recepty/sousy-marinady/gorchichnij-marinad-s-shalfeem-27760
Имбирно-соевый маринад для курицы и говядины;зеленый лук, жареный кунжут, соевый соус, марсала, мед, чесночная паста, тертый имбирь;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/imbirno-soevij-marinad-dlja-kurici-govjadini-23257
Соево-чесночный маринад для мяса на гриле;соевый соус, оливковое масло, чеснок, лимонный сок;Соусы и маринады;Паназиатская кухня;https://eda.ru/recepty/sousy-marinady/soevo-chesnochnij-marinad-dlja-mjasa-na-grile-27747
Маринад для морепродуктов;крупная соль, коричневый сахар, вода;Соусы и маринады;Американская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-moreproduktov-22459
Острый маринад с табаско;оливковое масло, лимонный сок, дижонская горчица, tabasco®, красный перец хлопьями;Соусы и маринады;Мексиканская кухня;https://eda.ru/recepty/sousy-marinady/ostrij-marinad-s-tabasko-27751
Маринад с оливковым маслом и пряными травами;оливковое масло extra virgin, свежий розмарин , свежий тимьян, чеснок, красный винный уксус, свежемолотый черный перец;Соусы и маринады;Средиземноморская кухня;https://eda.ru/recepty/sousy-marinady/marinad-s-olivkovim-maslom-prjanimi-travami-27762
Маринад для размягчения красного мяса;вода, яблочный уксус, коричневый сахар, лимон, репчатый лук, лавровый лист, свежемолотый черный перец, гвоздика, соль;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-razmjagchenija-krasnogo-mjasa-23264
Пряный йогуртовый маринад с индийскими специями;семена кумина (зира) , семена кориандра, семена горчицы, паприка, кайенский перец, соль, куркума, натуральный обезжиренный йогурт , репчатый лук, сок лайма, чеснок, тертый имбирь;Соусы и маринады;Индийская кухня;https://eda.ru/recepty/sousy-marinady/prjanij-jogurtovij-marinad-s-indijskimi-specijami-27732
Лаймово-уксусный маринад для утки;сок лайма, красный винный уксус, чеснок, мед, молотый кориандр , молотый кумин (зира) ;Соусы и маринады;Китайская кухня;https://eda.ru/recepty/sousy-marinady/lajmovo-uksusnij-marinad-dlja-utki-23261
Японский маринад для курицы на гриле;красный винный уксус, растительное масло, соевый соус, сахар, тертый имбирь;Соусы и маринады;Японская кухня;https://eda.ru/recepty/sousy-marinady/japonskij-marinad-dlja-kurici-na-grile-27750
Лимонный маринад с розмарином для баранины;чеснок, лук-шалот, свежий измельченный розмарин, свежие измельченные листья орегано, оливковое масло extra virgin, лимонный сок;Соусы и маринады;Средиземноморская кухня;https://eda.ru/recepty/sousy-marinady/limonnij-marinad-s-rozmarinom-dlja-baranini-27759
Маринад для красной рыбы;филе рыбы, крупная морская соль, сахар, укроп, лимонная цедра, коньяк;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-krasnoj-ribi-48018
Легкий лимонно-винный маринад для рыбы и курицы;лимон, чеснок, белое сухое вино, лимонная цедра, сушеный эстрагон, эстрагоновый уксус, свежемолотый черный перец;Соусы и маринады;Итальянская кухня;https://eda.ru/recepty/sousy-marinady/legkij-limonno-vinnij-marinad-dlja-ribi-kurici-23254
Винный маринад для дичи;красное сухое вино, репчатый лук, петрушка, морковь, лавровый лист, черный перец горошком, оливковое масло, соль, гвоздика;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/vinnij-marinad-dlja-dichi-15836
Цитрусовый маринад для свинины;апельсиновый сок, сок лайма, чеснок, мед, сушеный тимьян;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/citrusovij-marinad-dlja-svinini-23258
Винный маринад для красного мяса;красное сухое вино, сливочное масло, репчатый лук, петрушка, стебель сельдерея, говяжий бульон, лавровый лист, сушеный майоран, сушеный тимьян, красный перец хлопьями;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/vinnij-marinad-dlja-krasnogo-mjasa-23260
Маринад с розмарином для баранины;оливковое масло, растительное масло, лимонный сок, сушеный тимьян, сушеный розмарин, чеснок;Соусы и маринады;Французская кухня;https://eda.ru/recepty/sousy-marinady/marinad-s-rozmarinom-dlja-baranini-23263
Йогуртовый маринад со специями;натуральный йогурт, молотый кумин (зира) , куркума, растительное масло, молотый кориандр ;Соусы и маринады;Арабская кухня;https://eda.ru/recepty/sousy-marinady/jogurtovij-marinad-so-specijami-27755
Маринад на свежих томатах с луком и приправами;растительное масло, репчатый лук, помидоры, приправа для рыбы, сахар, соль, чеснок;Соусы и маринады;Грузинская кухня;https://eda.ru/recepty/sousy-marinady/marinad-na-svezhih-tomatah-s-lukom-i-pripravami-174403
Лимонный маринад с черным перцем;лимонный сок, дижонская горчица, оливковое масло extra virgin, сахар, свежемолотый черный перец, соль;Соусы и маринады;Паназиатская кухня;https://eda.ru/recepty/sousy-marinady/limonnij-marinad-s-chernim-percem-27734
Винный маринад для красного мяса;красное сухое вино, сливочное масло, репчатый лук, петрушка, стебель сельдерея, говяжий бульон, лавровый лист, сушеный майоран, сушеный тимьян, красный перец хлопьями;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/vinnij-marinad-dlja-krasnogo-mjasa-23260
Маринад для мяса на гриле по-средиземноморски;чеснок, свежий розмарин , соль, свежемолотый черный перец, оливковое масло extra virgin, красный винный уксус, сахар;Соусы и маринады;Средиземноморская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-mjasa-na-grile-po-sredizemnomorski-27748
Медово-чесночный маринад для свинины;мед, лимонный сок, соевый соус, сухой херес, чеснок;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/medovo-chesnochnij-marinad-dlja-svinini-23259
Маринад из белого вина с орегано и чесноком;белое сухое вино, лимонный сок, оливковое масло extra virgin, чеснок, сушеный орегано, соль, свежемолотый черный перец;Соусы и маринады;Средиземноморская кухня;https://eda.ru/recepty/sousy-marinady/marinad-iz-belogo-vina-s-oregano-chesnokom-27736
Луковый маринад для шашлыка из свиной шеи;свиная шея, лук, смесь итальянских специй, смесь перцев, оливковое масло;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/lukovy-marinad-dlya-shashlyka-iz-svino-shei-151519
Маринад для рыбы на мангале на пиве с лаймом;чеснок, светлое пиво, соус терияки, оливковое масло, лайм, копченая паприка, зелень;Соусы и маринады;Китайская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlya-ryby-na-mangale-na-pive-s-laymom-174401
Маринад с текилой для свинины;томатный сок, апельсиновый сок, текила, молотый сушеный чеснок, соль, сушеный орегано;Соусы и маринады;Мексиканская кухня;https://eda.ru/recepty/sousy-marinady/marinad-s-tekiloj-dlja-svinini-23265
Маринад для рыбы на мангале на кефире с карри;кефир 3,2%-ный, имбирь, карри, соль, молотый черный перец;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlya-ryby-na-mangale-na-kefire-s-karri-174402
Цитрусовый маринад для птицы и белого мяса;мед, рисовый уксус, лимон, апельсины, соль, молотый черный перец;Соусы и маринады;Американская кухня;https://eda.ru/recepty/sousy-marinady/citrusovyy-marinad-dlya-pticy-i-belogo-myasa-81125
Маринад для кукурузы на гриле;оливковое масло, сок лайма, молотый перец чили анчо, крупная соль;Соусы и маринады;Мексиканская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-kukuruzi-na-grile-27758
Маринад из красного вина для шашлыка;красное сухое вино, вода, репчатый лук, чеснок, тимьян, соль, шашлык;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/marinad-iz-krasnogo-vina-dlya-shashlyka-173628
Маринад для кукурузы на гриле;оливковое масло, сок лайма, молотый перец чили анчо, крупная соль;Соусы и маринады;Мексиканская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-kukuruzi-na-grile-27758
Маринад для баранины с травами и специями по-мароккански;семена кумина (зира) , семена фенхеля, красный перец хлопьями, семена кориандра, оливковое масло extra virgin, белое сухое вино, апельсины, крупная соль, свежий тимьян, петрушка, кинза, чеснок, корень имбиря;Соусы и маринады;Марокканская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-baranini-s-travami-specijami-po-marokkanski-27764
Лимонный маринад с тимьяном и шалотом для рыбы;белое сухое вино, лимонный сок, оливковое масло extra virgin, свежий тимьян, лук-шалот, лимон, крупная соль, свежемолотый черный перец;Соусы и маринады;Средиземноморская кухня;https://eda.ru/recepty/sousy-marinady/limonnij-marinad-s-timjanom-shalotom-dlja-ribi-27777
Маринад с майонезом и луком для свинины;репчатый лук, сметана, майонез, чеснок, орегано, тимьян, шашлык;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/marinad-s-mayonezom-i-lukom-dlya-svininy-173622
Пряный маринад со специями для мяса на гриле;репчатый лук, растительное масло, соевый соус, мелко рубленный чеснок, красный винный уксус, апельсиновый сок, коричневый сахар, тертая цедра апельсина, свежемолотый черный перец, молотый душистый перец, сушеный тимьян, молотая корица, молотая гвоздика, соус чили;Соусы и маринады;Паназиатская кухня;https://eda.ru/recepty/sousy-marinady/prjanij-marinad-so-specijami-dlja-mjasa-na-grile-27724
Маринад для дичи;кефир, мед, репчатый лук;Соусы и маринады;Авторская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-dichi-16993
Маринад для мяса с пряными травами и лимонной цедрой;оливковое масло, свежий измельченный розмарин, измельченные листья шалфея, бальзамический уксус, измельченный свежий тимьян, чеснок, лимон;Соусы и маринады;Армянская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-mjasa-s-prjanimi-travami-limonnoj-cedroj-27756
Тайский лаймовый маринад;рыбный соус, сахар, листья лайма, лимонная трава, галангал;Соусы и маринады;Тайская кухня;https://eda.ru/recepty/sousy-marinady/tajskij-lajmovij-marinad-27738
Томатный маринад для шашлыка из свиной шеи;свиная шея, томатный сок, бальзамический уксус, винный уксус, перец чили, базилик;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/tomatny-marinad-dlya-shashlyka-iz-svino-shei-151518
Маринад для селедки;лук, уксус, вода;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlya-seledki-174509
Лаймовый маринад с ромом и мятой;лук-шалот, измельченные листья мяты, ром, тертая цедра лайма, мед, сок лайма, крупная соль, растительное масло;Соусы и маринады;Паназиатская кухня;https://eda.ru/recepty/sousy-marinady/lajmovij-marinad-s-romom-mjatoj-27727
Ароматный йогуртовый маринад со специями для курицы;натуральный йогурт, лимонный сок, оливковое масло extra virgin, репчатый лук, измельченные листья мяты, чеснок, лимонная цедра, молотый кумин (зира) , молотый кориандр , острая паприка, молотая корица, молотый имбирь;Соусы и маринады;Греческая кухня;https://eda.ru/recepty/sousy-marinady/aromatnij-jogurtovij-marinad-so-specijami-dlja-kurici-27781
Маринад с минералкой для шашлыка из свинины;репчатый лук, минеральная вода с газом, соль, молотый черный перец, мускатный орех, смесь пряных трав, шашлык;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/marinad-s-mineralkoy-dlya-shashlyka-iz-svininy-173626
Маринад из красного вина с чесноком и розмарином;красный винный уксус, красное сухое вино, оливковое масло, чеснок, свежий измельченный розмарин, соль, свежемолотый черный перец;Соусы и маринады;Грузинская кухня;https://eda.ru/recepty/sousy-marinady/marinad-iz-krasnogo-vina-s-chesnokom-rozmarinom-27726
Маринад с пряностями для свинины;репчатый лук, растительное масло, соль, паприка, молотый сушеный чеснок, тимьян, молотый перец чили, шашлык;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/marinad-s-pryanostyami-dlya-svininy-173627
Маринад с пятью специями и чесноком;соевый соус, сахар, чеснок, китайские пряности «пять специй»;Соусы и маринады;Китайская кухня;https://eda.ru/recepty/sousy-marinady/marinad-s-pjatju-specijami-chesnokom-27731
Йогуртовый маринад с кумином;натуральный обезжиренный йогурт , измельченные листья мяты, фруктовый чатни, чеснок, молотый кумин (зира) , растительное масло, соль;Соусы и маринады;Индийская кухня;https://eda.ru/recepty/sousy-marinady/jogurtovij-marinad-s-kuminom-27733
Грибы в пряном маринаде;свежие грибы, чеснок, уксус, кислота лимонная, гвоздика, черный перец горошком, лавровый лист, соцветия укропа, сахар, соль;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/gribi-v-prjanom-marinade-52625
Маринад из уксуса для свинины;вода, репчатый лук, столовый уксус, соль, сахар, молотый черный перец, шашлык;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/marinad-iz-uksusa-dlya-svininy-173625
Имбирный маринад с мирином по-азиатски;мирин, мисо-паста, тертый имбирь, лимонный сок, соевый соус, сахар;Соусы и маринады;Паназиатская кухня;https://eda.ru/recepty/sousy-marinady/imbirnij-marinad-s-mirinom-po-aziatski-27737
Чесночно-горчичный маринад для мяса и сыра на гриле;чеснок, оливковое масло extra virgin, горчица, крупная соль, свежемолотый черный перец, тертая лимонная цедра;Соусы и маринады;Французская кухня;https://eda.ru/recepty/sousy-marinady/chesnochno-gorchichnij-marinad-dlja-mjasa-sira-na-grile-28675
Маринад с бренди для белого мяса (Marinata al brandy);бренди, оливковое масло, свежий тимьян, лавровый лист, соль, молотый черный перец;Соусы и маринады;Испанская кухня;https://eda.ru/recepty/sousy-marinady/marinad-s-brendi-dlya-belogo-myasa-marinata-al-brandy-80527
Легкий маринад для птицы с йогуртом и розмарином;натуральный обезжиренный йогурт , свежий измельченный розмарин, молотый черный перец, крупная соль, лук-шалот;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/legkij-marinad-dlja-ptici-s-jogurtom-rozmarinom-28527
Маринад с кефиром и горчицей для свинины;кефир 1%-ный, кинза, молотый кориандр , дижонская горчица, томатная паста , соль, молотый черный перец, шашлык;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/marinad-s-kefirom-i-gorchicey-dlya-svininy-173623
Азиатский маринад для блюд на мангале;соевый соус, соус терияки, лайм, перец чили, имбирь, кунжутное масло;Соусы и маринады;Паназиатская кухня;https://eda.ru/recepty/sousy-marinady/aziatskij-marinad-dlja-bljud-na-mangale-43619
Универсальный маринад к мясу и птице;бальзамический уксус, оливковое масло, соевый соус, чеснок, лимонный сок, молотый красный перец;Соусы и маринады;Кавказская кухня;https://eda.ru/recepty/sousy-marinady/universalnij-marinad-k-mjasu-i-ptice-54314
Маринад для птицы с чили, медом и можжевельником;зернистая горчица, оливковое масло с перцем, ягоды можжевельника, красный перец чили, сладкий красный лук, гречишный мед, морская соль;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-ptici-s-chili-medom-mozhzhevelnikom-28526
Ананасовый маринад с перцами чипотле;яблочный уксус, концентрированный ананасовый сок, черная патока, консервированный перец чипотле , оливковое масло, соль;Соусы и маринады;Паназиатская кухня;https://eda.ru/recepty/sousy-marinady/ananasovij-marinad-s-percami-chipotle-27722
Маринад для птицы с чили, медом и можжевельником;зернистая горчица, оливковое масло с перцем, ягоды можжевельника, красный перец чили, сладкий красный лук, гречишный мед, морская соль;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/marinad-dlja-ptici-s-chili-medom-mozhzhevelnikom-28526
Йогуртовый маринад с зеленью и специями по-мароккански;рубленая петрушка, натуральный обезжиренный йогурт , рубленая кинза (кориандр), оливковое масло extra virgin, лимонный сок, чеснок, паприка, молотый кумин (зира) , соль, свежемолотый черный перец;Соусы и маринады;Средиземноморская кухня;https://eda.ru/recepty/sousy-marinady/jogurtovij-marinad-s-zelenju-specijami-po-marokkanski-27730
Маринад из пахты с чесноком и лимонной цедрой;пахта, измельченный укроп, лимонный сок, чеснок, тертая лимонная цедра;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/marinad-iz-pahti-s-chesnokom-limonnoj-cedroj-27752
Имбирный маринад для курицы или креветок;мед, винный уксус, чеснок, имбирь, рубленая кинза (кориандр), молотый мускатный орех, соль, оливковое масло, свежий перец;Соусы и маринады;Тайская кухня;https://eda.ru/recepty/sousy-marinady/imbirnij-marinad-dlja-kurici-ili-krevetok-31674
Луково-лаймовый маринад по-индийски;репчатый лук, сок лайма, оливковое масло extra virgin, гарам-масала, соль;Соусы и маринады;Индийская кухня;https://eda.ru/recepty/sousy-marinady/lukovo-lajmovij-marinad-po-indijski-28681
Гранатово-соевый маринад для мяса;лимон, соевый соус, чеснок, оливковое масло, паприка, соль, гранатовый сок, свежемолотый черный перец, хмели-сунели;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/granatovo-soevyy-marinad-dlya-myasa-174502
Маринад из красного вина с апельсиновой цедрой и розмарином;красное сухое вино, репчатый лук, цедра апельсина, свежий розмарин , желе из красной смородины, крупная соль, свежемолотый черный перец;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/marinad-iz-krasnogo-vina-s-apelsinovoj-cedroj-rozmarinom-27723
Кокосовый маринад для рыбы по-тайски;лук-шалот, кокосовое молоко, сок лайма, рубленая кинза (кориандр), чили-паста;Соусы и маринады;Тайская кухня;https://eda.ru/recepty/sousy-marinady/kokosovij-marinad-dlja-ribi-po-tajski-27754
Соус к салату «Цезарь»;яичный желток, чеснок, анчоусы, соль, молотый черный перец, вустерширский соус, оливковое масло, дижонская горчица, лимонный сок, тертый сыр пармезан ;Соусы и маринады;Латиноамериканская кухня;https://eda.ru/recepty/sousy-marinady/sous-k-salatu-cezar-14285
Соус чимичурри;петрушка, кинза, чеснок, лук-шалот, орегано, перец чили хлопьями, лимон, красный винный уксус, оливковое масло extra virgin, соль, молотый черный перец;Соусы и маринады;Латиноамериканская кухня;https://eda.ru/recepty/sousy-marinady/sous-chimichurri-92513
Соус бешамель;сливочное масло, пшеничная мука, молоко, соль;Соусы и маринады;Итальянская кухня;https://eda.ru/recepty/sousy-marinady/sous-beshamel-28603
Китайский кисло-сладкий соус;сахар, уксус, соевый соус, томатное пюре, апельсиновый сок, кукурузная мука;Соусы и маринады;Китайская кухня;https://eda.ru/recepty/sousy-marinady/kitajskij-kislo-sladkij-sous-15792
Классический соус бешамель;сливочное масло, подсолнечное масло, пшеничная мука, молоко, соль;Соусы и маринады;Авторская кухня;https://eda.ru/recepty/sousy-marinady/klassicheskij-sous-beshamel-15793
Соус карри;подсолнечное масло, семена горчицы, имбирь, листья карри, пажитник, репчатый лук, паприка, куркума, помидоры, вода, соль, перец чили, кокосовое молоко;Соусы и маринады;Индийская кухня;https://eda.ru/recepty/sousy-marinady/sous-karri-31899
Соус из сливы и острого перца;сливы, перец чили, молотый кориандр , красный базилик , сахар, винный уксус, портвейн, вода;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/sous-iz-slivy-i-ostrogo-perca-80645
Соус тартар;майонез, зеленый лук, маринованные огурцы, каперсы, рубленая петрушка, лимонный сок, дижонская горчица, сушеный эстрагон, вустерширский соус, tabasco®, соль, молотый черный перец;Соусы и маринады;Французская кухня;https://eda.ru/recepty/sousy-marinady/sous-tartar-21540
Итальянский томатный соус;оливковое масло, репчатый лук, чеснок, орегано, консервированные помидоры, помидоры, томатная паста , сахар;Соусы и маринады;Итальянская кухня;https://eda.ru/recepty/sousy-marinady/italjanskij-tomatnij-sous-15625
Соус дзадзики;чеснок, натуральный йогурт, огурцы, петрушка, укроп, оливковое масло, лимонный сок, морская соль;Соусы и маринады;Греческая кухня;https://eda.ru/recepty/sousy-marinady/sous-dzadziki-37681
Соус песто с кедровыми орешками;зеленый базилик , сыр пармезан, кедровые орехи, оливковое масло, чеснок, соль;Соусы и маринады;Итальянская кухня;https://eda.ru/recepty/sousy-marinady/sous-pesto-s-kedrovimi-oreshkami-21875
Чесночный соус;сливочное масло, пшеничная мука, мясной бульон, уксус, чеснок, соль;Соусы и маринады;Русская кухня;https://eda.ru/recepty/sousy-marinady/chesnochnij-sous-16245
Сладкий соус чили;сладкий перец, перец чили, чеснок, вода, сахар, уксус 9%-ный, крахмал, соль;Соусы и маринады;Паназиатская кухня;https://eda.ru/recepty/sousy-marinady/sladkiy-sous-chili-152845
Соус для салата «Цезарь» с вустерширским соусом;куриное яйцо, лимон, оливковое масло, тертый сыр пармезан , соль, молотый черный перец, французская горчица;Соусы и маринады;Американская кухня;https://eda.ru/recepty/sousy-marinady/sous-dlja-salata-cezar-s-vustershirskim-sousom-31533
Соус «Бешамель», или белый соус;сливочное масло, пшеничная мука, молоко, соль, молотый черный перец;Соусы и маринады;Французская кухня;https://eda.ru/recepty/sousy-marinady/sous-beshamel-ili-belij-sous-48205
Соус бешамель с мускатным орехом;сливочное масло, пшеничная мука, молоко, соль, молотый белый перец, молотый мускатный орех;Соусы и маринады;Французская кухня;https://eda.ru/recepty/sousy-marinady/sous-beshamel-s-muskatnym-orehom-24909
Соус сацебели;грецкие орехи, чеснок, молотый красный перец, кинза, имеретинский шафран, гранатовый сок, куриный бульон, соль;Соусы и маринады;Грузинская кухня;https://eda.ru/recepty/sousy-marinady/sous-sacebeli-17109
Ароматный сырный соус;сливочное масло, пшеничная мука, сухая горчица, молоко, соль, молотый черный перец, сыр чеддер, соус чили;Соусы и маринады;Европейская кухня;https://eda.ru/recepty/sousy-marinady/aromatnij-sirnij-sous-26928
Соус «Jack Daniel’s» по рецепту ресторана Friday’s;чеснок, оливковое масло, ананасовый сок, вода, соус терияки, соевый соус, коричневый сахар, репчатый лук, лимонный сок, виски jack daniel’s, ананас, кайенский перец;Соусы и маринады;Американская кухня;https://eda.ru/recepty/sousy-marinady/sous-jack-daniel-s-po-receptu-restorana-friday-s-26859
