food;ingredients;category;kitchen;food_url
Сэндвичи с козьим сыром и грецким орехом;сладкий перец, мягкий козий сыр, сливочный сыр, грецкие орехи, хлеб для тостов;Сэндвичи;Британская кухня;https://eda.ru/recepty/sendvichi/sendvichi-s-kozim-syrom-i-greckim-orehom-139837
Сэндвичи с тушеной говядиной и зеленым луком;говядина, репчатый лук, чеснок, соль, молотый черный перец, вода, томатная паста , соус барбекю, коричневый сахар, кукурузный крахмал, булочка, зеленый лук;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-tushenoj-govjadinoj-zelenim-lukom-21060
Сэндвичи с сырным кремом и свежей клубникой;сыр нешатель, мед, цедра апельсина, хлеб для тостов, клубника;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-sirnim-kremom-svezhej-klubnikoj-28201
Сэндвичи с салатом из сельдерея и соусом ремулад;корень сельдерея, мясо краба, яичный желток, сахар, растительное масло, соль, уксус, горчица, лимонный сок, корнишоны, каперсы, эстрагон, зеленые яблоки, листья латука, французский багет;Сэндвичи;Клубный сэндвич;https://eda.ru/recepty/sendvichi/sjendvichi-s-salatom-iz-seldereja-sousom-remulad-29865
Сэндвичи на гриле с говядиной, ветчиной и сыром;горчица, французский багет, говяжья вырезка, ветчина, маринованные огурцы, сыр проволоне, сливочное масло, соль, растительное масло, молотый черный перец;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-na-grile-s-govjadinoj-vetchinoj-sirom-23925
Сэндвичи с пармской ветчиной, галльской дыней и зеленым базиликом;чиабатта, пармская ветчина, галльская дыня, оливковое масло, зеленый базилик , лимон, молотый черный перец;Сэндвичи;Итальянская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-parmskoj-vetchinoj-gallskoj-dinej-zelenim-bazilikom-16208
Сэндвичи с творожным кремом и соусом песто, с чесночными креветками;тигровые креветки, мягкий творог, чеснок, растительное масло, рукола, помидоры черри, песто, белый хлеб для тостов ;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-tvorozhnim-kremom-i-sousom-pesto-s-chesnochnimi-krevetkami-40543
Сэндвичи с сосисками;греческий йогурт, кинза, лимонный сок, майонез «провансаль», дижонская горчица, томатный соус, зернистая горчица, свиные сосиски, говяжьи сосиски, куриные сосиски, оливковое масло, красный лук, красные яблоки, смесь салатных листьев, пита;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-sosickami-53970
Сэндвичи из фокаччи с рукколой, моцареллой, маринованным красным луком и помидорами;помидоры, красный лук, красный винный уксус, свежемолотый черный перец, рукола, фокачча, постный майонез, соль, сыр моцарелла;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-iz-fokachchi-s-rukkoloj-mocarelloj-marinovannim-krasnim-lukom-pomidorami-27199
Сэндвичи с лососем на гриле, рукколой, помидорами и кремом из авокадо;филе лосося, специи каджун, авокадо, легкий майонез, цельнозерновая булочка , рукола, сливовидные помидоры, красный лук;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-lososem-na-grile-rukkoloj-pomidorami-kremom-iz-avokado-28547
Сэндвичи с лисичками и яйцами;сливочное масло, лук-шалот, лисички, крупная соль, свежемолотый черный перец, деревенский хлеб, листья базилика, куриное яйцо (крупное);Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-lisichkami-jajcami-29472
Сэндвичи с селедкой и сыром фета;сельдь в красном винном соусе, помидоры, сыр фета, лайм, натуральный йогурт, шнитт-лук, укроп, ржаной хлеб, зеленый салат, молотый белый перец;Сэндвичи;Клубный сэндвич;https://eda.ru/recepty/sendvichi/sjendvichi-s-seledkoj-sirom-feta-29873
Сэндвичи со свининой;свиная вырезка, соль, молотый черный перец, дижонская горчица, оливковое масло, лимонный сок, панировочные сухари, несоленое сливочное масло, измельченные листья шалфея, чеснок, швейцарский сыр, каперсы, рукола, круглая булочка;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-so-svininoj-54784
Сэндвичи по-средиземноморски;французский цельнозерновой багет, мягкий козий сыр, сладкий перец, цукини, зелень, оливковое масло;Сэндвичи;Средиземноморская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-po-sredizemnomorski-40167
Сэндвичи с ветчиной и томатным соусом;французский багет, помидоры, ветчина, лимон, чеснок, петрушка, оливковое масло, соль, молотый черный перец, бальзамический уксус;Сэндвичи;Клубный сэндвич;https://eda.ru/recepty/sendvichi/sjendvichi-s-vetchinoj-tomatnim-sousom-14429
Сэндвичи со свежим мясным хлебом, рукколой, майонезным соусом и цельнозерновым хлебом;майонез, кетчуп, цельнозерновой хлеб, мясной хлеб, рукола;Сэндвичи;Хлеб;https://eda.ru/recepty/sendvichi/sjendvichi-so-svezhim-mjasnim-hlebom-rukkoloj-majoneznim-sousom-celnozernovim-hlebom-21595
Сэндвичи с сыром и сливочным маслом;сливочное масло, твердый сыр, нарезной батон;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-sirom-i-slivochnim-maslom-35391
Сэндвичи с грушами, грюйером и ветчиной;хлеб для тостов, сыр грюйер, груши, сливочное масло, ветчина;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-grushami-grjujerom-vetchinoj-29545
Сэндвичи с печенью трески, красным луком и перцем;печень трески, красный лук, сладкий перец, сливочное масло, петрушка, цельнозерновой хлеб;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvichi-s-pechenju-treski-krasnim-lukom-i-percem-34015
Английские сэндвичи с огурцами;сливочное масло, свежая мята, цельнозерновой хлеб, сливочный сыр, огурцы, соль;Сэндвичи;Британская кухня;https://eda.ru/recepty/sendvichi/angliyskie-sendvichi-s-ogurcami-69188
Мягкие сэндвичи с сыром;сыр рикотта, сыр маскарпоне, сливки 40%-ные, зеленый лук, белый хлеб, ржаной хлеб;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/mjagkie-sjendvichi-s-sirom-15717
Горячие сэндвичи с грибами и томатами;помидоры, сливочное масло, свежие грибы, мелко рубленный чеснок, хлеб для тостов, рукола, сыр чеддер для сэндвичей;Сэндвичи;Закрытый бутерброд;https://eda.ru/recepty/sendvichi/gorjachie-sjendvichi-s-gribami-tomatami-25162
Жареные сэндвичи с беконом и грушей;белый хлеб, бекон, груши «бартлетт», белый сыр чеддер, сливочное масло;Сэндвичи;Клубный сэндвич;https://eda.ru/recepty/sendvichi/zharenie-sjendvichi-s-bekonom-grushej-27333
Легкие сэндвичи с прошутто и моцареллой;прошутто, консервированный жареный перец, сыр моцарелла, цельнозерновой хлеб;Сэндвичи;Итальянская кухня;https://eda.ru/recepty/sendvichi/legkie-sjendvichi-s-proshutto-mocarelloj-28545
Легкие сэндвичи с авокадо и копченым лососем;авокадо, легкий майонез, лимонный сок, свежемолотый черный перец, цельнозерновой хлеб, копченый лосось, огурцы;Сэндвичи;Британская кухня;https://eda.ru/recepty/sendvichi/legkie-sjendvichi-s-avokado-kopchenim-lososem-28544
Летние сэндвичи с домашним хлебом;ржаная мука, пшеничная мука, сухие дрожжи, сахар, соль, вода, семечки подсолнуха, прованские травы, зеленый салат, сладкий перец, маринованные огурцы, куриное яйцо, салями, кисло-сладкий соус;Сэндвичи;Британская кухня;https://eda.ru/recepty/sendvichi/letnie-sendvichi-s-domashnim-hlebom-93243
Диетические сэндвичи с морковью, яйцом и чесноком;цельнозерновой хлеб, морковь, куриное яйцо, чеснок, натуральный йогурт;Сэндвичи;Британская кухня;https://eda.ru/recepty/sendvichi/dieticheskie-sendvichi-s-morkovyu-yaycom-i-chesnokom-91991
Быстрые сэндвичи с лососем, овощами и рикоттой;консервированный лосось, красный лук, оливковое масло extra virgin, лимонный сок, свежемолотый черный перец, пумперникель, сыр рикотта, помидоры, листья латука;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/bistrie-sjendvichi-s-lososem-ovoschami-rikottoj-28551
Быстрые сэндвичи с консервированным лососем и васаби;легкий майонез, лимонный сок, соевый соус, сахар, тертый имбирь, консервированный лосось, рубленный стебель сельдерея , зеленый рубленый лук, порошок васаби, цельнозерновой хлеб;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/bistrie-sjendvichi-s-konservirovannim-lososem-vasabi-28549
Сладкие сэндвичи с арахисом, клубникой и бананом;хлеб для тостов, сливочное масло, мед, арахисовая паста, шоколадные чипсы (мини), клубника, бананы, ананасовый джем ;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/sladkie-sjendvichi-s-arahisom-klubnikoj-bananom-23537
Куриные сэндвичи с курицей гриль и соусом барбекю;курица гриль, соус барбекю, ананасовый джем , чили-пудра, хлеб для тостов, латук, помидоры;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/kurinie-sjendvichi-s-kuricej-gril-sousom-barbekju-22409
Сырные сэндвичи с карамелизованными яблоками на гриле;сливочное масло, коричневый сахар, молотая корица, яблоко, хлеб для тостов, сыр чеддер;Сэндвичи;Сырные закуски;https://eda.ru/recepty/sendvichi/sirnie-sjendvichi-s-karamelizovannimi-jablokami-na-grile-25869
Слоеные сэндвичи с салями и пюре из лука-порея;лук-порей, сельдерей, слоеное тесто, острая салями, семена фенхеля, греческий йогурт, оливковое масло extra virgin, соль, молотый черный перец, вода;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sloenie-sjendvichi-s-saljami-i-pjure-iz-luka-poreja-37120
Итальянские сэндвичи с говядиной;красный винный уксус, маринованный перец, стебель сельдерея, перец халапеньо, красный перец хлопьями, соль, молотый черный перец, сушеный базилик, сушеный орегано, чеснок, говяжья вырезка, булочка;Сэндвичи;Итальянская кухня;https://eda.ru/recepty/sendvichi/italjanskie-sjendvichi-s-govjadinoj-54514
Низкокалорийные сэндвичи с овощами и фетой;зеленый лук перья, сыр фета, бородинский хлеб, помидоры, салат айсберг, огурцы;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/nizkokalorijnie-sjendvichi-s-ovoshhami-i-fetoj-37697
Холодные сэндвичи с фетой и томатами;хлеб для тостов, помидоры, зеленый базилик , чеснок, сыр фета, оливковое масло;Сэндвичи;Средиземноморская кухня;https://eda.ru/recepty/sendvichi/holodnie-sjendvichi-s-fetoj-tomatami-30864
Закусочные сэндвичи из питы;пита, плавленый сыр, репчатый лук, шерри, карри, соль, молотый черный перец;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/zakusochnie-sjendvichi-iz-piti-40968
Жареные ржаные сэндвичи с шукрутом и грюйером;ржаной хлеб, сыр грюйер, шукрут, сливочное масло;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/zharenie-rzhanie-sjendvichi-s-shukrutom-grjujerom-27332
Французские тосты с яблоками;топленое масло, бриошь, куриное яйцо, сахар, сливки, яблоко, корица, молотый мускатный орех, сахарная пудра;Сэндвичи;Французская кухня;https://eda.ru/recepty/sendvichi/francuzskie-tosti-s-jablokami-20728
Сэндвич с яичницей, беконом и сыром;бекон, белый хлеб, сыр эдам, помидоры, майонез, сливочное масло, куриное яйцо, листья латука;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvich-s-jaichnicej-bekonom-sirom-17380
Домашняя шаурма с курицей;помидоры, петрушка, сметана, чеснок, кетчуп, майонез, армянский лаваш, филе куриной грудки, молодая капуста, огурцы, сладкий перец, соль, белый винный уксус, оливковое масло, морковь по-корейски, зелень, красный лук, сахар, специи, растительное масло;Сэндвичи;Авторская кухня;https://eda.ru/recepty/sendvichi/domashnyaya-shaurma-s-kuricey-41324
Бутерброд с творожным сыром и печеным перцем;красный сладкий перец, французский багет, творожный сыр, растительное масло, чеснок, бальзамический уксус, зеленый салат, твердый сыр, соль, молотый черный перец;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/buterbrod-s-tvorozhnym-syrom-i-pechenym-percem-58363
Гамбургер с соусом тартар;говядина, кетчуп, булочка 8 злаков, красный лук, помидоры, куриное яйцо, салат айсберг, соус тартар;Сэндвичи;Французская кухня;https://eda.ru/recepty/sendvichi/gamburger-s-sousom-tartar-24298
Роти-джон;французский багет, говяжий фарш, репчатый лук, зеленый перец чили , красный перец чили, зеленый лук, куриное яйцо, растительное масло, соль;Сэндвичи;Малайзийская кухня;https://eda.ru/recepty/sendvichi/roti-dzhon-114338
Клаб-сэндвич;хлеб для тостов, майонез, дижонская горчица, листья латука, сыр чеддер, грудка индейки, помидоры, бекон;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/klab-sendvich-136855
Гирос;свиная вырезка, оливковое масло, греческий йогурт, чеснок, лимон, майоран, огурцы, помидоры, красный лук, петрушка, пита, соль, молотый черный перец;Сэндвичи;Греческая кухня;https://eda.ru/recepty/sendvichi/giros-125398
Горячие бутерброды;сыр, французский багет, чеснок, помидоры, майонез;Сэндвичи;Горячие бутерброды;https://eda.ru/recepty/sendvichi/gorjachie-buterbrodi-14720
Спринг-роллы;очищенные креветки, морковь, огурцы, рисовая лапша, зеленый салат, кинза, свежая мята, рисовая бумага , рисовый уксус, рыбный соус, вода, сахар, ростки сои, чеснок, растительное масло;Сэндвичи;Паназиатская кухня;https://eda.ru/recepty/sendvichi/spring-rolly-114563
Килувыйлейб;куриное яйцо, ржаной хлеб, сливочное масло, килька пряного посола, зеленый лук, молотый черный перец;Сэндвичи;Эстонская кухня;https://eda.ru/recepty/sendvichi/kiluvyyleyb-125469
Буррито;репчатый лук, консервированная фасоль, чеснок, молотый перец чили, молотый кумин (зира) , сок лайма, кинза, говяжий фарш, сыр, растительное масло, помидоры, тортильи, соль, молотый черный перец;Сэндвичи;Мексиканская кухня;https://eda.ru/recepty/sendvichi/burrito-139911
Жюльен в булке;куриные окорочка, булочка, репчатый лук, пшеничная мука, сметана, сыр;Сэндвичи;Французская кухня;https://eda.ru/recepty/sendvichi/zhjulen-v-bulke-16853
Багет с сыром, зеленью и ветчиной;французский багет, ветчина, зелень, базилик, сыр;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/baget-s-sirom-zelenju-i-vetchinoj-34171
Брускетта с говядиной, томатами и песто;ржаной хлеб, вяленые помидоры, рукола, песто, говяжья вырезка, оливковое масло, соль, свежий перец;Сэндвичи;Итальянская кухня;https://eda.ru/recepty/sendvichi/brusketta-s-govjadinoj-tomatami-pesto-31627
Сэндвич с селедкой;булочка, филе сельди, сладкий лук, маринованные огурцы;Сэндвичи;Голландская кухня;https://eda.ru/recepty/sendvichi/sjendvich-s-seledkoj-50394
Сырные тосты на сковородке;белый хлеб, сливочное масло, сыр, растительное масло;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sirnie-tosti-na-skovorodke-32573
Творог со слабосоленым лососем и укропом;творог, слабосоленый лосось, укроп, тростниковый сахар, оливковое масло, чиабатта;Сэндвичи;Скандинавская кухня;https://eda.ru/recepty/sendvichi/tvorog-so-slabosolenim-lososem-ukropom-17382
Шаурма с курицей и майонезом;армянский лаваш, сладкий перец, помидоры, морковь по-корейски, сыр, курица, кетчуп, майонез;Сэндвичи;Арабская кухня;https://eda.ru/recepty/sendvichi/shaurma-s-kuricey-i-mayonezom-33712
Буррито с говяжьим фаршем;говяжий фарш, сладкий красный лук, консервированная кукуруза, молотый сушеный чеснок, соус барбекю, белая консервированная фасоль, тортильи, сыр чеддер, сметана, оливковое масло, красный сладкий перец;Сэндвичи;Мексиканская кухня;https://eda.ru/recepty/sendvichi/burrito-s-govjazhim-farshem-36767
Крабсбургеры;говядина, помидоры, пикули, оливки без косточек, сыр грюйер, кетчуп, майонез, соль, молотый черный перец, булочка;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/krabsburgeri-20911
Жареный сэндвич с сыром;хлеб для тостов, сливочное масло, сыр чеддер;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/zharenyy-sendvich-s-syrom-138987
Клаб-сэндвич с беконом;бекон, мясо, сыр, красный лук, майонез, белый хлеб, помидоры, зеленый салат;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/klab-sjendvich-s-bekonom-33911
Датский бутерброд с килькой и редиской;бородинский хлеб, редис, килька пряного посола, куриное яйцо, майонез, соль, молотый черный перец, салат корн;Сэндвичи;Пошаговые рецепты;https://eda.ru/recepty/sendvichi/datskiy-buterbrod-s-kilkoy-i-rediskoy-139182
Брускетта классическая и с грибами;помидоры, базилик, чеснок, оливковое масло, свежие шампиньоны, козий сыр, лимонный сок, рубленая петрушка, тмин, деревенский хлеб;Сэндвичи;Итальянская кухня;https://eda.ru/recepty/sendvichi/brusketta-klassicheskaja-s-gribami-19721
Тосты с авокадо и сыром;авокадо, черный хлеб, твердый сыр, чеснок, соль, молотый черный перец, майонез;Сэндвичи;Испанская кухня;https://eda.ru/recepty/sendvichi/tosti-s-avokado-i-sirom-34327
Шаверма с корюшкой;корюшка, чесночное масло, огурцы, помидоры, красный лук, белокочанная капуста, салат айсберг, греческий йогурт, соленые огурцы, молотый кориандр , кайенский перец, карри, растительное масло, соль, кинза, перец чили;Сэндвичи;Авторская кухня;https://eda.ru/recepty/sendvichi/shaverma-s-koryushkoy-125315
Сэндвич «Рубен»;ржаной хлеб, сливочное масло, швейцарский сыр, пастрами, квашеная капуста, майонез, кетчуп, тертый хрен, вустерширский соус, сахар, паприка, соль, молотый черный перец;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sendvich-ruben-140069
Брускетты с помидорами и базиликом;чиабатта, помидоры, базилик, чеснок, оливковое масло, соль, молотый черный перец;Сэндвичи;Итальянская кухня;https://eda.ru/recepty/sendvichi/brusketti-s-pomidorami-bazilikom-16390
Бейглы с мягким сливочным сыром и семгой;мед, сухие дрожжи, соль, пшеничная мука, сода, оливковое масло ideal, творожный сыр, слабосоленая семга;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/beygly-s-myagkim-slivochnym-syrom-i-semgoy-57939
Лаваш с начинкой;армянский лаваш, зеленый лук, сыр, растительное масло;Сэндвичи;Армянская кухня;https://eda.ru/recepty/sendvichi/lavash-s-nachinkoj-21231
Фиш-роллы с треской;филе трески, майонез, каперсы, маринованные огурцы, зеленые яблоки, салат романо, соль, молотый черный перец, укроп;Сэндвичи;Авторская кухня;https://eda.ru/recepty/sendvichi/fish-rolly-s-treskoy-139183
Крок-месье по-итальянски;фокачча, сыр моцарелла, прошутто, орегано, оливковое масло;Сэндвичи;Итальянская кухня;https://eda.ru/recepty/sendvichi/krok-mese-po-italjanski-15589
Сэндвич с беконом, сыром и свежими овощами;горчица, майонез, помидоры, огурцы, зеленый салат, репчатый лук, бекон, сыр, отрубной хлеб;Сэндвичи;Британская кухня;https://eda.ru/recepty/sendvichi/sjendvich-s-bekonom-sirom-i-svezhimi-ovoshhami-35686
Сэндвич с курицей и помидором;хлеб для тостов, куриное филе, сыр гауда, сыр буко, помидоры, зеленый салат;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/sendvich-s-kuricey-i-pomidorom-26416
Брускетта с креветками и авокадо;маленькие очищенные вареные креветки, помидоры, кетчуп, коричневый сахар, чеснок, рубленая петрушка, оливковое масло, рисовый уксус, соль, молотый черный перец, французский багет;Сэндвичи;Итальянская кухня;https://eda.ru/recepty/sendvichi/brusketta-s-krevetkami-i-avokado-22464
Сэндвич с тунцом;консервированный тунец в собственном соку, легкий майонез, зернистая горчица, зеленый лук, сладкий красный лук, сельдерей, зеленые яблоки, огурцы, куриное яйцо (крупное), зеленый салат;Сэндвичи;Американская кухня;https://eda.ru/recepty/sendvichi/sjendvich-s-tuncom-31829
Гамбургеры с домашними булочками на дрожжах;куриное яйцо, пшеничная мука, кунжут, сухие дрожжи, зеленый салат, молоко, сахар, оливковое масло, соль, говяжий фарш, твердый сыр, помидоры;Сэндвичи;Немецкая кухня;https://eda.ru/recepty/sendvichi/gamburgery-s-domashnimi-bulochkami-na-drozhzhah-36586
Чесночные тосты с петрушкой;чеснок, французский багет, оливковое масло extra virgin, листья петрушки;Сэндвичи;Мексиканская кухня;https://eda.ru/recepty/sendvichi/chesnochnie-tosti-s-petrushkoj-29296
Шаурма домашняя с курицей;армянский лаваш, курица, лук, морковь по-корейски, помидоры черри, майонез, кетчуп, куриное яйцо, растительное масло;Сэндвичи;Азербайджанская кухня;https://eda.ru/recepty/sendvichi/shaurma-domashnyaya-s-kuricey-43122
Вегетарианские конвертики из лаваша с грибами и сулугуни;тонкий лаваш, помидоры, сыр сулугуни, зеленый лук, базилик, петрушка, куриное яйцо, натуральный йогурт, хмели-сунели, чеснок, растительное масло, соль, шампиньоны;Сэндвичи;Авторская кухня;https://eda.ru/recepty/sendvichi/vegetarianskie-konvertiki-iz-lavasha-s-gribami-i-suluguni-151014
Бутерброд с икрой по рецепту ресторана «Прага»;французский багет, сливочное масло, красная икра, укроп, петрушка, лимон;Сэндвичи;Советская кухня;https://eda.ru/recepty/sendvichi/buterbrod-s-ikroy-po-receptu-restorana-praga-152958
Бутерброд с икрой по рецепту ресторана «Прага»;французский багет, сливочное масло, красная икра, укроп, петрушка, лимон;Сэндвичи;Советская кухня;https://eda.ru/recepty/sendvichi/buterbrod-s-ikroy-po-receptu-restorana-praga-152958
Горячие бутерброды с картофелем и сыром;батон, зеленый лук, кардамон, картофельное пюре, куриное яйцо, твердый сыр, жирная сметана, майонез, растительное масло, укроп, свежая мята, соль;Сэндвичи;Авторская кухня;https://eda.ru/recepty/sendvichi/goryachie-buterbrody-s-kartofelem-i-syrom-151011
Дачный тост с редиской и зеленью;ржаной хлеб, творожный сыр, сметана, петрушка, кинза, мизуна, редис, соль, молотый черный перец;Сэндвичи;Русская кухня;https://eda.ru/recepty/sendvichi/dachnyy-tost-s-rediskoy-i-zelenyu-152469
Бутерброды странджанки с фаршем, брынзой и болгарским перцем;ржаной хлеб, фарш, сыр брынза, красный сладкий перец, желтый сладкий перец, вустерширский соус, красный базилик , репчатый лук, сливочное масло, растительное масло, соль, молотый черный перец;Сэндвичи;Болгарская кухня;https://eda.ru/recepty/sendvichi/buterbrody-strandzhanki-s-farshem-brynzoy-i-bolgarskim-percem-151012
Бань-ми;свиной окорок, растительное масло, куриная печень, французский багет, репчатый лук, кинза, свежая мята, свежевыжатый апельсиновый сок, рыбный соус, коричневый сахар, чеснок, зеленый лук, майонез, кетчуп, легкий соевый соус, кунжутное масло, перец чили, белокочанная капуста, морковь, огурцы, соль;Сэндвичи;Вьетнамская кухня;https://eda.ru/recepty/sendvichi/ban-mi-140500
Лодочки с курицей, сельдереем и перепелиным яйцом;маленький французский багет, морковь, сельдерей, репчатый лук, курица, кефир, куриное яйцо, перепелиное яйцо, подсолнечное масло, сыр моцарелла для пиццы, соль, молотый черный перец;Сэндвичи;Европейская кухня;https://eda.ru/recepty/sendvichi/lodochki-s-kuricey-seldereem-i-perepelinym-yaycom-151013
